"title","type","event","date","url","abstract","block","category","short_location"
"Lower bounds for strongly Log-concave Sampling","Workshop","Hausdorff Research Institute for Mathematics — Boolean Analysis in Computer Science (HIM, Bonn)","2024-10-01","https://www.mathematics.uni-bonn.de/him/programs/current-trimester-program/him-dual-trimester-program-boolean-analysis-in-computer-science","Log-concave sampling has witnessed remarkable algorithmic advances in recent years, but the corresponding problem of proving lower bounds for this task has remained elusive, with lower bounds previously known only in dimension one. In this talk, I will establish query lower bounds for sampling from strongly log-concave and log-smooth distributions in dimension $d\ge 2$, showing that it requires $\Omega(\log \kappa)$ queries, which is sharp in any constant dimension. Based on joint work with Sinho Chewi, Jerry Li, Chen Lu, and Shyam Narayanan","Sampling lower bounds","research","HIM, Bonn"
"On the hot spots conjecture in high dimensions","Conference","2024 Simons Collaboration on Localization of Waves Meeting","2024-10-01","https://cse.umn.edu/wave/events","","The Hot Spots Conjecture","research","Flatiron Institute"
"Lower bounds for strongly Log-concave Sampling","Workshop","BIRS-IMAG Workshop (Granada)","2024-06-11","","Log-concave sampling has witnessed remarkable algorithmic advances in recent years, but the corresponding problem of proving lower bounds for this task has remained elusive, with lower bounds previously known only in dimension one. In this talk, I will establish query lower bounds for sampling from strongly log-concave and log-smooth distributions in dimension $d\ge 2$, showing that it requires $\Omega(\log \kappa)$ queries, which is sharp in any constant dimension. Based on joint work with Sinho Chewi, Jerry Li, Chen Lu, and Shyam Narayanan","Sampling lower bounds","research","BIRS-IMAG, Granada"
"Lower bounds for strongly Log-concave Sampling","Seminar","UCLA Analysis Seminar","2024-05-09","","Log-concave sampling has witnessed remarkable algorithmic advances in recent years, but the corresponding problem of proving lower bounds for this task has remained elusive, with lower bounds previously known only in dimension one. In this talk, I will establish query lower bounds for sampling from strongly log-concave and log-smooth distributions in dimension $d\ge 2$, showing that it requires $\Omega(\log \kappa)$ queries, which is sharp in any constant dimension. Based on joint work with Sinho Chewi, Jerry Li, Chen Lu, and Shyam Narayanan","Sampling lower bounds","research","UCLA"
"Lower bounds for strongly Log-concave Sampling","Seminar","Hausdorff Research Institute for Mathematics — Synergies between Probability, Geometric Analysis and Stochastic Geometry (HIM, Bonn)","2024-01-01","https://www.him.uni-bonn.de/programs/current-trimester-program/harmonic-analysis-and-analytic-number-theory/description/","Log-concave sampling has witnessed remarkable algorithmic advances in recent years, but the corresponding problem of proving lower bounds for this task has remained elusive, with lower bounds previously known only in dimension one. In this talk, I will establish query lower bounds for sampling from strongly log-concave and log-smooth distributions in dimension $d\ge 2$, showing that it requires $\Omega(\log \kappa)$ queries, which is sharp in any constant dimension. Based on joint work with Sinho Chewi, Jerry Li, Chen Lu, and Shyam Narayanan","Sampling lower bounds","research","HIM, Bonn"
"Uniformity for polynomial curves","Seminar","Rutgers University Analysis Seminar","2023-10-01","","Multiple results in harmonic analysis involving integrals of functions over curves (such as restriction theorems, convolution estimates, maximal function estimates or decoupling estimates) depend strongly on the non-vanishing of the torsion of the associated curve. Over the past years there has been considerable  interest in extending these results to a degenerate case where the torsion vanishes at a finite number of points by using the affine arc-length as an alternative integration measure. As a model case, multiple results have been proven in which the coordinate functions of the curve are polynomials. In this case one expects the bounds of the operators to depend only on the degree of the polynomial. In this talk I will introduce and motivate the concept of affine arclength measure, provide new decomposition theorems for polynomial curves over characteristic zero local fields, and provide some applications to uniformity results in harmonic analysis.","Decoupling & additive combinatorics","research","Rutgers"
"Power-type cancellation for the simplex Hilbert transform","Reading group","Kopp Summer School Reading Group (Bonn)","2023-09-28","","","Expository","research","Kopp, Bonn"
"Decoupling: From partial differential equations to number theory","Seminar","Microsoft Research Theory Seminar","2023-07-21","","Decoupling estimates were introduced by Wolff in order to improve local smoothing estimates for the wave equation. Since then, they have found multiple applications in analysis: from PDEs and restriction theory, to additive number theory, where Bourgain, Demeter and Guth used decoupling-type estimates to prove the main conjecture of the Vinogradov mean value theorem for d>3.
In this talk I will explain what decoupling estimates are, I will talk about its applications to the Vinogradov Mean Value theorem and local smoothing, and I will explain the main ingredients that go into (most) decoupling proofs.","Expository","","Microsoft Research"
"Decoupling, Cantor sets, and additive combinatorics","Seminar","University of Rochester Combinatorics Seminar","2023-05-23","","Decoupling and discrete restriction inequalities have been very fruitful in recent years to solve problems in additive combinatorics and analytic number theory. In this talk I will present some work in decoupling for Cantor sets, including Cantor sets on a parabola, decoupling for product sets, and give applications of these results to additive combinatorics. Time permitting, I will present some open problems. Based on joint work with Alan Chang, Rachel Greenfeld, Asgar Jamneshan, José Madrid, Zane Li and Paata Ivanisvili","Decoupling & additive combinatorics","research","U. Rochester"
"Lower bounds for strongly Log-concave Sampling","Seminar","University of Rochester Computer Science Seminar","2023-05-24","","Log-concave sampling has witnessed remarkable algorithmic advances in recent years, but the corresponding problem of proving lower bounds for this task has remained elusive, with lower bounds previously known only in dimension one. In this talk, I will establish query lower bounds for sampling from strongly log-concave and log-smooth distributions in dimension $d\ge 2$, showing that it requires $\Omega(\log \kappa)$ queries, which is sharp in any constant dimension. Based on joint work with Sinho Chewi, Jerry Li, Chen Lu, and Shyam Narayanan","Sampling lower bounds","research","U. Rochester"
